##|##
Frequency0|Frequency1
0.00000000|0.00000000
0.00000000|0.00000941
0.00000000|0.00000941
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000941
0.00000000|0.00000000
0.00000000|0.00000941
0.00000000|0.00000000
0.00000000|0.00000941
0.00000000|0.00000000
0.00000000|0.00001882
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00002822
0.00000000|0.00006586
0.00000000|0.00001882
0.00000000|0.00000941
0.00000000|0.00001882
0.00000000|0.00000000
0.00000000|0.00000941
0.00000000|0.00000000
0.00000000|0.00002822
0.00000000|0.00002822
0.00000000|0.00000000
0.00000000|0.00000941
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00001882
0.00000000|0.00000000
0.00000000|0.00000941
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00001882
0.00000000|0.00003763
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000941
0.00000000|0.00001882
0.00000000|0.00000000
0.00000000|0.00000941
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00005645
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000941
0.00000000|0.00005645
0.00000000|0.00000941
0.00000000|0.00000000
0.00000000|0.00000941
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00001882
0.00000000|0.00000941
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000941
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000941
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00001882
0.00000000|0.00002822
0.00000000|0.00000000
0.00000000|0.00000941
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000941
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000941
0.00000000|0.00000941
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000941
0.00000000|0.00001882
0.00000000|0.00000941
0.00000000|0.00000000
0.00000000|0.00000941
0.00000000|0.00000941
0.00000000|0.00001882
0.00000000|0.00000000
0.00000000|0.00000941
0.00000000|0.00001882
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00001882
0.00000000|0.00001882
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00003763
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00001882
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000941
0.00000000|0.00000000
0.00000000|0.00000941
0.00000000|0.00000941
0.00000000|0.00000000
0.00000000|0.00001882
0.00000000|0.00000941
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000941
0.00000000|0.00000000
0.00000000|0.00001882
0.00000000|0.00002822
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000941
0.00000000|0.00000000
0.00000000|0.00000941
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00002822
0.00000000|0.00000000
0.00000000|0.00000941
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00001882
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00001882
0.00000000|0.00000000
